			[*footmin-w-resolution]	[*footmin-f-resolution]	[*stress.s=>-u]	[*strength.w=>-p]	[*stress.w=>-p]
	DARK|ened.by|SHAD.OWS|of|EARTH|but.re|FLECT|ing|AN|im|AGE|of|HEAVEN			2	2	1	1
	DARK.ENED|by|SHAD.OWS|of|EARTH|but|RE.FLECT|ing.an|IM.AGE|of|HEAVEN		2	1	3		
	DARK.ENED|by|SHAD.OWS|of|EARTH|but.re|FLECT.ING|an|IM.AGE|of|HEAVEN		2	1	3		
	dark|ENED|by|SHAD.OWS|of|EARTH|but.re|FLECT|ing.an|IM.AGE|of|HEAVEN			2	2	1	1
	DARK|ened.by|SHAD|ows|OF|earth|BUT|re|FLECT|ing.an|IM.AGE|of|HEAV|en			2	3		2
	DARK.ENED|by|SHAD.OWS|of|EARTH|but|RE|flect|ING|an|IM.AGE|of|HEAV|en		1		4	1	1
	DARK|ened.by|SHAD|ows|OF|earth|BUT|re|FLECT|ing.an|IM.AGE|of|HEAVEN			2	3		2
	DARK.ENED|by|SHAD.OWS|of|EARTH|but|RE|flect|ING|an|IM.AGE|of|HEAVEN		1		4	1	1
	DARK|ened|BY|shad|OWS|of|EARTH|but|RE|flect|ING|an|IM.AGE|of|HEAV|en				4	2	2
	DARK|ened.by|SHAD|ows|OF|earth|BUT|re|FLECT.ING|an|IM.AGE|of|HEAV|en		1	1	4		2
	DARK.ENED|by|SHAD|ows|OF|earth|BUT|re|FLECT|ing.an|IM.AGE|of|HEAV|en		1	1	4		2
	dark|ENED|by|SHAD.OWS|of|EARTH|but|RE|flect|ING|an|IM.AGE|of|HEAV|en				4	2	2
	DARK|ened|BY|shad|OWS|of|EARTH|but|RE|flect|ING|an|IM.AGE|of|HEAVEN				4	2	2
	DARK|ened.by|SHAD|ows|OF|earth|BUT|re|FLECT.ING|an|IM.AGE|of|HEAVEN		1	1	4		2
	DARK.ENED|by|SHAD|ows|OF|earth|BUT|re|FLECT|ing.an|IM.AGE|of|HEAVEN		1	1	4		2
	dark|ENED|by|SHAD.OWS|of|EARTH|but|RE|flect|ING|an|IM.AGE|of|HEAVEN				4	2	2
	DARK.ENED|by|SHAD|ows|OF|earth|BUT|re|FLECT.ING|an|IM.AGE|of|HEAV|en		2		5		2
	DARK.ENED|by|SHAD|ows|OF|earth|BUT|re|FLECT.ING|an|IM.AGE|of|HEAVEN		2		5		2
Waste are those pleasant farms, and the farmers forever departed!	WASTE|are.those|PLEAS|ant|FARMS|and.the|FARM|ers.for|EV|er.de|PART|ed	2		2			
	WASTE|are.those|PLEAS|ant|FARMS|and.the|FARM|ers.for|EV.ER|de|PART|ed			1	1		
	WASTE|are.those|PLEAS|ant|FARMS|and.the|FARM.ERS|for|EV|er.de|PART|ed		1	1	1		
	WASTE|are.those|PLEAS|ant|FARMS|and.the|FARM.ERS|for|EV.ER|de|PART|ed		1		2		
	WASTE|are.those|PLEAS|ant|FARMS|and.the|FARM|ers|FOR|ev|ER|de|PART|ed				2	1	1
Scattered like dust and leaves, when the mighty blasts of October	SCAT|tered.like|DUST|and|LEAVES|when.the|MIG|hty|BLASTS|of.oc|TO|ber	2		2			
	SCAT|tered|LIKE.DUST|and|LEAVES|when.the|MIG|hty|BLASTS|of.oc|TO|ber			2			
	SCAT.TERED|like|DUST|and|LEAVES|when.the|MIG|hty|BLASTS|of.oc|TO|ber			1	1		
	SCAT|tered.like|DUST|and|LEAVES|when.the|MIG|hty|BLASTS|of|OC.TO|ber		1	1	1		
	SCAT.TERED|like|DUST|and|LEAVES|when.the|MIG|hty|BLASTS|of|OC.TO|ber		1		2		
	SCAT.TERED|like|DUST|and|LEAVES|when.the|MIG|hty|BLASTS|of|OC|to|BER				3	1	1
Seize them, and whirl them aloft, and sprinkle them far o'er the ocean.	SEIZE|them.and|WHIRL|them.alo|FT|and|SPRIN|kle.them|FAR|o'er.the|OC|ean	2		2			
	SEIZE|them.and|WHIRL|them|ALO.FT|and|SPRIN|kle.them|FAR|o'er.the|OC|ean		1	1	1		
	SEIZE|them.and|WHIRL|them.alo|FT|and|SPRIN.KLE|them|FAR|o'er.the|OC|ean		1	1	1		
	SEIZE|them|AND|whirl|THEM|alo|FT|and|SPRIN|kle.them|FAR|o'er.the|OC|ean			1	2		1
	SEIZE|them.and|WHIRL|them|ALO.FT|and|SPRIN.KLE|them|FAR|o'er.the|OC|ean		2		2		
	SEIZE|them.and|WHIRL|them.alo|FT|and|SPRIN|kle|THEM|far|O'ER|the|OC|ean			1	2		1
	SEIZE|them|AND|whirl|THEM|alo|FT|and|SPRIN.KLE|them|FAR|o'er.the|OC|ean		1		3		1
	SEIZE|them.and|WHIRL|them|ALO.FT|and|SPRIN|kle|THEM|far|O'ER|the|OC|ean		1		3		1
	SEIZE|them|AND|whirl|THEM|alo|FT|and|SPRIN|kle|THEM|far|O'ER|the|OC|ean				4		2
	SEIZE|them.and|WHIRL|them|ALO|ft|AND|sprin|KLE|them|FAR|o'er.the|OC|ean				3	2	2
