			[*strength.w=>-p]	[*footmin-s-noHX]	[*footmin-wordbound-lexmono]	[*skip_initial_foot]
	and|BE|cheer'd|BY|the|SAL|lies|OF|youth					
	and|BE|cheer'd|BY|the|SAL|lies.of|YOUTH					
	and|BE|cheer'd|BY|the|SAL.LIES|of|YOUTH					
	and.be|CHEER'D|by.the|SAL|lies|OF|youth					
	and.be|CHEER'D|by.the|SAL.LIES|of|YOUTH					
Religion! what treasure untold	RE|li|GION|what|TREA.SURE|un|TOLD					
	re|LI.GION|what|TREA.SURE|un|TOLD					
	re.li|GION|what|TREA.SURE|un|TOLD					
	RE.LI|gion.what|TREA.SURE|un|TOLD					
	re|LI|gion.what|TREA.SURE|un|TOLD					
Resides in that heavenly word!	re|SIDES|in.that|HEAV|en.ly|WORD	2				
	RE|sides|IN|that|HEAV|en|LY|word					
	RE|sides|IN|that|HEAV|en.ly|WORD					
	RE|sides|IN|that|HEAV.EN|ly|WORD					
	re.sides|IN|that|HEAV|en|LY|word					
	re.sides|IN|that|HEAV|en.ly|WORD					
	re.sides|IN|that|HEAV.EN|ly|WORD					
	RE|sides|IN|that|HEA|venly|WORD					
	re.sides|IN|that|HEA|venly|WORD					
	RE.SIDES|in.that|HEAV|en|LY|word					
	RE.SIDES|in.that|HEAV|en.ly|WORD					
	RE.SIDES|in.that|HEAV.EN|ly|WORD					
	re|SIDES|in.that|HEAV|en|LY|word					
	re|SIDES|in.that|HEAV.EN|ly|WORD					
	RE.SIDES|in.that|HEA|venly|WORD					
	re|SIDES|in.that|HEA|venly|WORD					
More precious than silver and gold,	more|PRE|cious.than|SIL|ver.and|GOLD	2				
	MORE|pre|CIOUS|than|SIL|ver|AND|gold					
	MORE|pre|CIOUS|than|SIL|ver.and|GOLD					
	more|PRE|cious.than|SIL|ver|AND|gold					
	more|PRE.CIOUS|than|SIL|ver|AND|gold					
	more|PRE.CIOUS|than|SIL|ver.and|GOLD					
	more.pre|CIOUS|than|SIL|ver|AND|gold					
	more.pre|CIOUS|than|SIL|ver.and|GOLD					
Or all that this earth can afford.	or|ALL|that.this|EARTH|can.af|FORD	2				
	OR|all|THAT|this|EARTH|can|AF.FORD					
	OR|all|THAT|this|EARTH|can.af|FORD					
	or|ALL|that|THIS|earth|CAN|af|FORD					
	or|ALL|that.this|EARTH|can|AF.FORD					
	or.all|THAT|this|EARTH|can|AF.FORD					
	or.all|THAT|this|EARTH|can.af|FORD					
	OR|all.that|THIS|earth|CAN|af|FORD					
But the sound of the church-going bell	but.the|SOUND|of.the|CHURCH|go.ing|BELL [*Bounded]	2	1			
	BUT|the|SOUND|of|THE|church|GO|ing|BELL					
	but.the|SOUND|of|THE|church|GO|ing|BELL					
