oreb	'ɑ.ɹɛ
phlegeton	'flɛ.ɡɛ.tʌ
lethe	'lɛð
serbonian	səː.'bəʊ.neɪ.ʌ
betwixt	bɪ.'twɪks
damiata	`deɪ.mɪ.'ɑ.tʌ
casius	'kæ.sɪ.ʌ
parching	'pɑ.tʃɪŋ
frore	'fɹɔː
harpy	'hɑ.pi
furies	'fjʊə.ɹɪ
haled	'heɪl
infixed	ɪn.'fɪks
lethean	'lɛ.θeɪ.ʌ
forgetfulness	fʌ.'ɡɛt.fʌl.nʌ
dolorous	'dɑ.lʌ.ɹʌ
alp	'æl
fens	'fɛn
obominable	'ɑ.bʌ.`mɪ.nʌ.bʌ
inutterable	ɪ.'nʌ.tʌ.ɹʌ.bʌ
chimeras	kaɪ.'meɪ.ʌ.ɹʌ
descried	dɪ.'skɹeɪ
equinoctial	'ɛ.kwɪ.`nɑk.ʃʌ
bengala	bɛŋ.'ɡɑ.lʌ
ternate	'təː.neɪ
tidore	'tɪ.dɔː
cerberean	'səː.bʌ.`ɹeɪ.ʌ
scylla	'saɪ.lʌ
trinacrian	tɹaɪ.'næ.kɹeɪ.ʌ
labouring	'leɪ.bəː.ɹɪŋ
dar'st	'dɑs
miscreated	mɪ.skɹi.'eɪ.tɪ
reckon'st	'ɹɛ.kɑns
thyself	θaɪ.'sɛl
breath'st	'bɹɛθs
unfelt	ʌn.'fɛl
unterrified	ʌn.'tɛ.ɹɪ.`faɪ
ophiuchus	'ɑ.fɪ.`ʌ.tʃʌ
snaky	'sneɪ.ki
sorceress	'sɔː.sʌ.ɹʌ
forbore	'fɔː.bɔː
interposest	`ɪn.tʌ.'pəʊ.sʌs
call'st	'kɔːls
detestable	dɪ.'tɛ.stʌ.bʌ
portress	'pɔː.tɹʌ
likest	'laɪ.kʌs
becam'st	bɪ.'kæms
enamoured	ɪ.'næ.mʌ
took'st	'tʊəks
empyrean	ɛm.'pɪ.ɹeɪ.ʌ
engendering	ɛn.'dʒɛn.dʌ.ɹɪŋ
saw'st	'sɔːs
repast	ɹɪ.'pɑs
forewarn	fɔː.'wɔː
claim'st	'kleɪms
show'st	'ʃəʊs
unthought	ʌn.'θɔː
pretences	pɹɪ.'tɛn.sɪ
purlieus	'pəː.lʉː
surcharged	'səː.tʃɑdʒ
broils	'bɹɔɪl
bespake	bɪ.'speɪ
o'ermatched	'ɔː.mætʃ
tartarus	'tɑ.tɑ.ɹʌ
clamours	'klæ.mʌ
compassed	'kʌm.pʌs
gav'st	'ɡævs
beseems	bɪ.'sim
portcullis	'pɔːt.kʌ.`li
unfastens	ʌn.'fɑ.sʌn
erebus	'ɛ.ɹɪ.bʌ
bannered	'bæ.nʌ
redounding	ɹɪ.'daʊn.dɪŋ
