line                                    	meter	[*footmin-no-s-unless-preceded-by-ww]	[*footmin-none]	[*posthoc-no-final-ww]	[*posthoc-standardize-weakpos]	[*strength.s=>-u]	[*strength.w=>-p]	[*stress.s=>-u]	[*stress.w=>-p]
wanders laughing and eating her wild heart	swswwswwss	0	0	0	3.0	0	0	1.0	0
                                        	swswwswsws	0	2.0	2.0	1.0	0	0	1.0	0
                                        	swswwswwsw	0	0	2.0	2.0	0	0	2.0	0
                                        	swswswswsw	3.0	4.0	4.0	0	0	0	0.0	3.0
                                        	swswswswss	3.0	4.0	2.0	1.0	10.0	0	0.0	3.0
among pigeons and bees while that great archer	wwswwswwssw	3.0	0	2.0	4.0	0	0	1.0	0
                                        	wwswwswswsw	3.0	0	4.0	2.0	0	0	2.0	0
                                        	wswswswswsw	3.0	2.0	4.0	0	0	0	0.0	3.0
                                        	wswswswwssw	3.0	2.0	2.0	2.0	0	0	1.0	3.0
                                        	wsswwswswsw	0	0	2.0	2.0	10.0	0	1.0	0
                                        	wwswwswwsww	6.0	0	4.0	4.0	0	1.0	0.0	0
                                        	wsswwswwssw	0	0	0	4.0	10.0	0	2.0	0
                                        	wsswwsswssw	0	0	0	4.0	20.0	0	1.0	0
                                        	wsswswswssw	0	2.0	2.0	2.0	20.0	0	0.0	0
who but awaits his hour to shoot still hangs	swwswswsws	0	0	2.0	1.0	0	0	1.0	0
                                        	wswswswsws	0	2.0	2.0	0	0	0	0.0	0
a cloudy quiver over pairc na lee       	wswswswsws	0	0	2.0	0	0	0	0.0	0
i swayed upon the gaudy stem            	wswswsws	0	0	0	0	0	0	0.0	0
the butt end of a steering oar          	wwswwsws	0	0	0	2.0	0	0	1.0	0
                                        	swswwsws	0	2.0	0	1.0	0	0	1.0	0
                                        	wswswsws	0	4.0	2.0	0	0	0	0.0	0
                                        	wwswwsww	0	0	2.0	3.0	0	1.0	0.0	0
and saw wherever i could turn           	wswswsws	0	2.0	0	0	0	0	0.0	0
                                        	wswswwss	0	0	0	2.0	0	0	1.0	0
                                        	wswswwsw	0	0	2.0	1.0	0	0	1.0	0
a crowd upon a shore                    	wswsws	0	0	0	0	0	0	0.0	0
and though i would have hushed the crowd	wswswsws	0	2.0	0	0	0	0	0.0	0
there was no mother's son but said      	wwsswsws	0	0	0	2.0	0	0	1.0	0
                                        	wswswsws	0	2.0	2.0	0	0	0	0.0	0
                                        	wwsswwss	0	2.0	2.0	4.0	0	0	0.0	0
                                        	swsswsws	0	2.0	0	1.0	10.0	0	0.0	0
what is the figure in a shroud          	swwswsws	0	0	0	1.0	0	0	1.0	0
                                        	wswswsws	0	2.0	0	0	0	0	0.0	0
upon a gaudy bed                        	wswsws	0	0	0	0	0	0	0.0	0
and after running at the brim           	wswswsws	0	0	0	0	0	0	0.0	0
cried out upon that thing beneath       	swwswsws	0	0	0	1.0	0	0	1.0	0
                                        	wswswsws	0	2.0	2.0	0	0	0	0.0	0
                                        	swwsswws	0	0	2.0	3.0	0	0	0.0	0
it had such dignity of limb             	wswswsws	0	2.0	0	0	0	0	0.0	0
by the sweet name of death              	wwssws	0	0	0	2.0	0	0	1.0	0
                                        	wswsws	0	2.0	2.0	0	0	0	0.0	0
                                        	wwswws	0	0	2.0	2.0	0	0	0.0	0
                                        	swssws	0	2.0	0	1.0	10.0	0	0.0	0
though i'd my finger on my lip          	wswswsws	0	4.0	0	0	0	0	0.0	0
what could i but take up the song       	wswwswws	0	0	0	2.0	0	0	1.0	0
                                        	swswswws	0	2.0	0	1.0	0	0	1.0	0
                                        	swswswsw	0	4.0	2.0	0	0	0	0.0	0
                                        	wswswsws	0	4.0	2.0	0	0	0	0.0	0
                                        	sswwswws	0	0	0	3.0	10.0	0	0.0	0
                                        	swswswss	0	4.0	0	1.0	10.0	0	0.0	0
                                        	swswssws	0	4.0	0	1.0	10.0	0	0.0	0
and running crowd and gaudy ship        	wswswsws	0	0	0	0	0	0	0.0	0
cried out the whole night long          	swwsws	0	0	2.0	1.0	0	0	1.0	0
                                        	swwsww	0	0	2.0	2.0	0	1.0	0.0	0
                                        	swswsw	0	2.0	4.0	0	0	0	0.0	0
                                        	wswsws	0	2.0	4.0	0	0	0	0.0	0
                                        	swswss	0	2.0	2.0	1.0	10.0	0	0.0	0
crying amid the glittering sea          	swwswswws	0	0	0	2.0	0	0	1.0	0
                                        	swwswswsw	0	2.0	2.0	1.0	0	0	1.0	0
                                        	wswswswws	3.0	2.0	2.0	1.0	0	0	1.0	3.0
                                        	wswswswsw	3.0	4.0	4.0	0	0	0	0.0	3.0
                                        	swwswwsww	3.0	2.0	4.0	3.0	0	1.0	0.0	3.0
                                        	wswswswss	3.0	4.0	2.0	1.0	10.0	0	0.0	3.0
naming it with ecstatic breath          	swswwsws	0	2.0	0	1.0	0	0	1.0	0
                                        	swwswsws	0	2.0	0	1.0	0	0	1.0	0
                                        	wswswsws	3.0	4.0	2.0	0	0	0	0.0	3.0
                                        	swwsswws	3.0	2.0	2.0	3.0	0	0	0.0	3.0
because it had such dignity             	wswswsws	0	2.0	0	0	0	0	0.0	0
                                        	wswswsww	0	0	0	1.0	0	1.0	1.0	0
by the sweet name of death              	wwssws	0	0	0	2.0	0	0	1.0	0
                                        	wswsws	0	2.0	2.0	0	0	0	0.0	0
                                        	wwswws	0	0	2.0	2.0	0	0	0.0	0
                                        	swssws	0	2.0	0	1.0	10.0	0	0.0	0
